
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-06-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.5
Magnitude Max:, 8.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 500.0
Vs30 Max (m/sec):, 10000.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Normal+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
48, SRSS, 1301, 0.3233, 1.0, -, 9.5, 16.9, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA056", 7.62, Reverse Oblique, 35.9, 41.1, 511.3, 0.0375, 1.0, RSN1301_CHICHI_HWA056-E.AT2, RSN1301_CHICHI_HWA056-N.AT2 , RSN1301_CHICHI_HWA056-V.AT2  
49, SRSS, 1303, 0.2502, 1.0, -, 9.4, 17.4, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA058", 7.62, Reverse Oblique, 41.17, 45.77, 529.54, 0.025, 1.0, RSN1303_CHICHI_HWA058-E.AT2, RSN1303_CHICHI_HWA058-N.AT2 , RSN1303_CHICHI_HWA058-V.AT2  
50, SRSS, 1350, 0.1858, 1.0, -, 8.7, 18.4, 0.7, "Chi-Chi_ Taiwan", 1999, "ILA067", 7.62, Reverse Oblique, 33.27, 38.82, 665.2, 0.0375, 1.0, RSN1350_CHICHI_ILA067-E.AT2, RSN1350_CHICHI_ILA067-N.AT2 , RSN1350_CHICHI_ILA067-V.AT2  
51, SRSS, 1434, 0.4717, 1.0, -, 16.7, 28.9, 0.3, "Chi-Chi_ Taiwan", 1999, "TAP049", 7.62, Reverse Oblique, 107.28, 108.1, 573.04, 0.0375, 1.0, RSN1434_CHICHI_TAP049-E.AT2, RSN1434_CHICHI_TAP049-N.AT2 , RSN1434_CHICHI_TAP049-V.AT2  
52, SRSS, 1475, 0.3322, 1.0, 8.372, 12.0, 24.7, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU026", 7.62, Reverse Oblique, 56.03, 56.12, 569.98, 0.025, 1.0, RSN1475_CHICHI_TCU026-E.AT2, RSN1475_CHICHI_TCU026-N.AT2 , RSN1475_CHICHI_TCU026-V.AT2  
53, SRSS, 1484, 0.4307, 1.0, -, 14.8, 21.4, 1.1, "Chi-Chi_ Taiwan", 1999, "TCU042", 7.62, Reverse Oblique, 26.31, 26.31, 578.98, 0.0625, 1.0, RSN1484_CHICHI_TCU042-E.AT2, RSN1484_CHICHI_TCU042-N.AT2 , RSN1484_CHICHI_TCU042-V.AT2  
54, SRSS, 1488, 0.3383, 1.0, -, 22.6, 33.3, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU048", 7.62, Reverse Oblique, 13.53, 13.53, 551.21, 0.05, 1.0, RSN1488_CHICHI_TCU048-E.AT2, RSN1488_CHICHI_TCU048-N.AT2 , RSN1488_CHICHI_TCU048-V.AT2  
55, SRSS, 1490, 0.3888, 1.0, -, 19.4, 27.0, 0.8, "Chi-Chi_ Taiwan", 1999, "TCU050", 7.62, Reverse Oblique, 9.49, 9.49, 542.41, 0.0375, 1.0, RSN1490_CHICHI_TCU050-E.AT2, RSN1490_CHICHI_TCU050-N.AT2 , RSN1490_CHICHI_TCU050-V.AT2  
56, SRSS, 1497, 0.4973, 1.0, -, 20.6, 29.8, 0.6, "Chi-Chi_ Taiwan", 1999, "TCU057", 7.62, Reverse Oblique, 11.83, 11.83, 555.23, 0.0375, 1.0, RSN1497_CHICHI_TCU057-E.AT2, RSN1497_CHICHI_TCU057-N.AT2 , RSN1497_CHICHI_TCU057-V.AT2  
57, SRSS, 1519, 0.5117, 1.0, 10.395, 16.1, 24.1, 0.5, "Chi-Chi_ Taiwan", 1999, "TCU087", 7.62, Reverse Oblique, 6.98, 6.98, 538.69, 0.0625, 1.0, RSN1519_CHICHI_TCU087-E.AT2, RSN1519_CHICHI_TCU087-N.AT2 , RSN1519_CHICHI_TCU087-V.AT2  
